(2017-12-14 22:00:43 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:01:06 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:01:06 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:01:11 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:01:11 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:01:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 5, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 22:01:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 5, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 22:01:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:01:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:01:53 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:01:53 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 5, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 22:01:53 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:01:53 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:01:53 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:02:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 5, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 22:02:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 5, ps_id: 2, proc_type: 259, msg_type: 2
(2017-12-14 22:02:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:02:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:02:41 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:02:42 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 5, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:04:34 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 5, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:34 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 5, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:34 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 5, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:34 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 5, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:04:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:05:37 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:05:37 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:05:37 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:05:37 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:06:55 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:06:55 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 22:08:00 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:08:06 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:08:33 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:08:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:08:56 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:09:00 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:09:11 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 6, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:09:14 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 6, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 22:10:24 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 6, ps_id: 4, proc_type: 259, msg_type: 2
(2017-12-14 22:10:24 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 6, ps_id: 4, proc_type: 259, msg_type: 2
(2017-12-14 22:10:24 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:10:24 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:10:24 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:10:24 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 22:11:01 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: , ss_id: 6, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 22:11:01 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: , ss_id: 6, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 22:11:47 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:11:47 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:11:47 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 22:11:47 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 22:11:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:11:48 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:11:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 22:11:48 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 22:11:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:11:48 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:11:49 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 22:11:49 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 22:11:49 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:11:49 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:11:49 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 22:11:49 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 22:11:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:11:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:11:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 22:11:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 22:11:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 5, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:11:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 5, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:11:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 5, proc_type: 65537, msg_type: 0
(2017-12-14 22:11:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 5, proc_type: 65537, msg_type: 0
(2017-12-14 22:11:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:11:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:11:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 5, proc_type: 65538, msg_type: 0
(2017-12-14 22:11:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 5, proc_type: 65538, msg_type: 0
(2017-12-14 22:11:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 5, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:11:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 5, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:11:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:11:53 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:11:53 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 5, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:11:54 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 5, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:11:54 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 1
(2017-12-14 22:11:54 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 1
(2017-12-14 22:11:54 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 22:11:54 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 22:11:55 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 4, proc_type: 1048579, msg_type: 1
(2017-12-14 22:11:56 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 4, proc_type: 1048579, msg_type: 1
(2017-12-14 22:12:43 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:12:43 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:12:43 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 22:12:43 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 22:12:44 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:12:44 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:12:44 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 22:12:44 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 22:12:45 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:12:45 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:12:45 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 22:12:45 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 22:12:46 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:12:46 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:12:46 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 22:12:46 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 22:12:46 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:12:46 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:12:47 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 22:12:47 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 22:12:47 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 5, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:12:47 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 5, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:12:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 5, proc_type: 65537, msg_type: 0
(2017-12-14 22:12:48 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 5, proc_type: 65537, msg_type: 0
(2017-12-14 22:12:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:12:48 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:12:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:12:48 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:12:48 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 5, proc_type: 65538, msg_type: 0
(2017-12-14 22:12:49 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 5, proc_type: 65538, msg_type: 0
(2017-12-14 22:12:49 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 5, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:12:49 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 5, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:12:49 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:12:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:12:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 5, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:12:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:12:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 5, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:12:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:12:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 1
(2017-12-14 22:12:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 5, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:12:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 4, proc_type: 65538, msg_type: 1
(2017-12-14 22:12:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 5, ps_id: 3, proc_type: 1048579, msg_type: 1
(2017-12-14 22:12:53 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 22:12:53 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 4, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 22:12:53 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 4, proc_type: 1048579, msg_type: 1
(2017-12-14 22:12:54 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 4, proc_type: 1048579, msg_type: 1
(2017-12-14 22:13:35 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:13:35 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 22:13:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 22:13:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 22:13:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:13:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 22:13:37 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 22:13:37 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 22:13:38 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:13:38 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 22:13:38 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 22:13:38 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 22:13:39 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:13:39 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 22:13:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 22:13:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 22:13:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:13:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 22:13:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 22:13:41 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
(2017-12-14 22:13:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 5, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:13:41 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 5, ps_id: 3, proc_type: 65536, msg_type: 1
(2017-12-14 22:13:42 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 5, proc_type: 65537, msg_type: 0
(2017-12-14 22:13:42 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 5, proc_type: 65537, msg_type: 0
(2017-12-14 22:13:42 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:13:42 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 5, ps_id: 3, proc_type: 65537, msg_type: 1
(2017-12-14 22:13:43 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 5, proc_type: 65538, msg_type: 0
(2017-12-14 22:13:43 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 5, proc_type: 65538, msg_type: 0
(2017-12-14 22:13:44 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 5, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:13:44 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 5, ps_id: 3, proc_type: 65538, msg_type: 1
(2017-12-14 22:13:44 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
(2017-12-14 22:13:45 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 5, proc_type: 1048579, msg_type: 0
